id_reserva,nombre,apellido,mail,competencia,fecha_reserva,inicio_estancia,final_estancia,nombre_hotel,ciudad,id_cliente,id_hotel,estrellas,precio_medio
40c4cb55-d1f5-407b-832f-4756b8ff77b4,Maite,Calatayud,maite.calatayud@example.com,False,2025-02-09,2025-03-01,2025-03-03,Hotel Monte Verde,Madrid,1002,1,3.1036363636363635,276.61238095238093
f2ce8df5-7844-43e1-8c0f-97ce7a208f21,Tecla,Bonet,tecla.bonet@example.com,False,2025-02-08,2025-03-01,2025-03-03,Hotel Brisas del Mar,Madrid,1003,2,3.088014981273408,275.2259210526316
57d4515a-447d-4067-afcb-9bdcf4e4e915,Amílcar,Andrés,amílcar.andrés@example.com,False,2025-02-02,2025-03-01,2025-03-03,Hotel Camino del Sol,Madrid,1004,3,3.0675675675675675,269.99844357976656
ccbd9fe9-5a60-4f6f-bed3-73a7158ecba7,Joan,Vazquez,joan.vazquez@example.com,False,2025-02-08,2025-03-01,2025-03-03,Hotel Puerta del Cielo,Madrid,1005,4,3.0285171102661597,280.15124282982794
99c3dc4f-663c-45f7-849a-ac9313f3746a,Chelo,Flor,chelo.flor@example.com,False,2025-02-09,2025-03-01,2025-03-03,Hotel Encanto Real,Madrid,1006,5,3.031311154598826,278.24399606299215
a5da0906-0fe5-4c30-b193-863df67a7b84,Dolores,Lobo,dolores.lobo@example.com,False,2025-02-10,2025-03-01,2025-03-03,Palacio del Sol,Madrid,1008,6,2.992156862745098,282.4921499013806
3eca014e-f122-41d7-9dd3-b984b9153d57,Noé,Lobo,noé.lobo@example.com,False,2025-02-02,2025-03-01,2025-03-03,Hotel Jardines del Rey,Madrid,1010,7,2.9362549800796813,272.4023353293413
8a68fb77-8798-4902-a92d-642ea5e47083,Omar,Lamas,omar.lamas@example.com,False,2025-02-10,2025-03-01,2025-03-03,Hotel Las Estrellas,Madrid,1013,8,2.906614785992218,271.7063529411765
5e3de36b-3d2f-4cef-98d3-df826c56a4b1,Ágata,Pinedo,ágata.pinedo@example.com,False,2025-02-01,2025-03-01,2025-03-03,Gran Hotel Madrid,Madrid,1015,9,3.0675675675675675,264.9671650485437
2a39eb83-b3aa-4df0-93b3-1fdc0b0a9609,Julie,Baños,julie.baños@example.com,False,2025-02-01,2025-03-01,2025-03-03,Hotel Torre Dorada,Madrid,1017,10,2.919921875,272.7331755424063
96a3727c-99fb-4ae0-a6c3-886504499ec2,Javier,Mancebo,javier.mancebo@example.com,False,2025-02-12,2025-03-01,2025-03-03,Hotel Palacio Imperial,Madrid,1018,11,3.0064794816414686,272.24151515151516
18fa5887-c155-4064-ba8d-3b2948dd348b,Rita,Guerrero,rita.guerrero@example.com,False,2025-02-11,2025-03-01,2025-03-03,Hotel Camino del Sol,Madrid,1019,3,3.0675675675675675,269.99844357976656
9880f3ea-a29d-4acd-9fe1-96df1ffa46bd,Ricardo,Lobo,ricardo.lobo@example.com,False,2025-02-06,2025-03-01,2025-03-03,Hotel Luz de Madrid,Madrid,1020,12,3.0522388059701493,269.9356074766355
22a3608a-1de2-40c7-8e2a-d22daf77390f,Perlita,Patiño,perlita.patiño@example.com,False,2025-02-02,2025-03-01,2025-03-03,Hotel Encanto Real,Madrid,1021,5,3.031311154598826,278.24399606299215
68b36da9-eeaa-4c31-91a8-d34fcc3956c8,Pedro,Gallego,pedro.gallego@example.com,False,2025-02-09,2025-03-01,2025-03-03,Hotel Los Almendros,Madrid,1022,13,3.0112570356472794,273.7629755178908
b92dbe7c-4660-4e4c-9224-47cae0152bf9,Judith,Bellido,judith.bellido@example.com,False,2025-02-08,2025-03-01,2025-03-03,Hotel Palacio Imperial,Madrid,1023,11,3.0064794816414686,272.24151515151516
9b16fc42-a7c6-4db9-98c7-30dbf2bb72b3,Francisco Javier,Hierro,francisco javier.hierro@example.com,False,2025-02-02,2025-03-01,2025-03-03,Hotel Sol y Luna,Madrid,1024,14,3.0089766606822264,267.93135869565214
65fcc15f-f4c6-492a-b191-f180ae314bea,Reynaldo,Lerma,reynaldo.lerma@example.com,False,2025-02-12,2025-03-01,2025-03-03,Hotel Monte Verde,Madrid,1025,1,3.1036363636363635,276.61238095238093
8a5b02f8-caa9-4917-a50d-a122c74a5c6d,Felicidad,Gimenez,felicidad.gimenez@example.com,False,2025-02-09,2025-03-01,2025-03-03,Hotel Mirador Real,Madrid,1026,15,2.9774859287054407,273.2852741020794
24f9a853-2cef-4fb7-8182-d4f347c772d7,Pía,Barba,pía.barba@example.com,False,2025-02-03,2025-03-01,2025-03-03,Hotel Puerta del Cielo,Madrid,1027,4,3.0285171102661597,280.15124282982794
345b493b-5fcb-476c-940b-cce20444d64e,Amílcar,Moles,amílcar.moles@example.com,False,2025-02-05,2025-03-01,2025-03-03,Hotel Las Estrellas,Madrid,1028,8,2.906614785992218,271.7063529411765
e9fc009e-6bbd-49a9-aaa1-499fbe5b7036,Blas,Galván,blas.galván@example.com,False,2025-02-11,2025-03-01,2025-03-03,Hotel Monte Verde,Madrid,1029,1,3.1036363636363635,276.61238095238093
91569bdd-8430-4537-8245-6ca66e5c95ed,Claudia,Miranda,claudia.miranda@example.com,False,2025-02-03,2025-03-01,2025-03-03,Hotel Puerta del Cielo,Madrid,1030,4,3.0285171102661597,280.15124282982794
2713abaf-e02b-4e4b-9897-a6b9cd4862b5,Fernanda,Segarra,fernanda.segarra@example.com,False,2025-02-02,2025-03-01,2025-03-03,Hotel Rincón Sereno,Madrid,1032,16,2.998046875,277.31882352941176
56aa252f-8c76-4712-a8d8-cfa844b5711a,Emilio,Huerta,emilio.huerta@example.com,False,2025-02-09,2025-03-01,2025-03-03,Hotel Vista Alegre,Madrid,1033,17,2.9412915851272015,279.80214145383104
67cc0893-51de-461e-bdf3-72beb87d4672,Bárbara,Jódar,bárbara.jódar@example.com,False,2025-02-09,2025-03-01,2025-03-03,Hotel Los Almendros,Madrid,1034,13,3.0112570356472794,273.7629755178908
728efa5a-8a5a-4e53-8b2b-349c4fcab5d9,Emiliano,Vergara,emiliano.vergara@example.com,False,2025-02-06,2025-03-01,2025-03-03,Hotel Luz de Madrid,Madrid,1036,12,3.0522388059701493,269.9356074766355
f4b3e94a-2476-4923-953d-1f76ad90b520,Marisol,Arévalo,marisol.arévalo@example.com,False,2025-02-11,2025-03-01,2025-03-03,Hotel Costa Azul,Madrid,1037,18,3.1184466019417476,284.282962962963
